,molecule_chembl_id,molecule_pref_name,canonical_smiles,pchembl_value,standard_type,standard_relation,standard_value,standard_units,potential_duplicate,target_pref_name,target_organism,assay_type,assay_description,chembl_id_duplicate,mean_pchembl_value,max_pchembl_value,min_pchembl_value,core_smiles,Mol,Scaffold
11,CHEMBL1081977,,COc1cc(Nc2nc3cccc(-c4ccc(NS(C)(=O)=O)cc4)c3o2)cc(OC)c1OC,6.82,IC50,=,150.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.82,6.82,6.82,c1ccc(Nc2nc3cccc(-c4ccccc4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49c10>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977cf0>
12,CHEMBL1081978,,COc1cc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)cc4)c3o2)cc(OC)c1OC,6.96,IC50,=,110.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.96,6.96,6.96,O=C(c1ccc(-c2cccc3nc(Nc4ccccc4)oc23)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49c80>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977d60>
13,CHEMBL1082022,,CNC(=O)c1ccc(Nc2nc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3o2)cc1C,6.92,IC50,=,120.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.92,6.92,6.92,c1ccc(Nc2nc3cccc(-c4ccc(CN5CCOCC5)cc4)c3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49cf0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977dd0>
14,CHEMBL1082023,,Cc1cc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)oc23)ccc1C(=O)N1CCOCC1,6.52,IC50,=,300.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay,False,6.52,6.52,6.52,O=C(c1ccc(-c2cccc3nc(Nc4ccc(N5CCNCC5)cc4)oc23)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49d60>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977e40>
15,CHEMBL1084546,PF-00562271,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,6.50,Ki,=,316.23,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,F,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2,False,6.50,6.50,6.50,O=C1Cc2cc(Nc3nccc(NCc4cccnc4)n3)ccc2N1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49dd0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977eb0>
16,CHEMBL1088856,,COc1cc(-c2cnc3cccc(-c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2)cc(OC)c1OC,5.85,IC50,=,1400.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,5.85,5.85,5.85,O=C(c1ccc(-c2cccc3ncc(-c4ccccc4)nc23)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49e40>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977f20>
17,CHEMBL1088857,,COc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)c(F)c4)c3n2)cc(OC)c1OC,5.66,IC50,=,2200.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,5.66,5.66,5.66,c1ccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49eb0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c0977f90>
18,CHEMBL1089773,,CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1,7.03,IC50,=,94.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,7.03,7.03,7.03,c1cc(-c2ccc(CN3CCOCC3)cc2)c2nc(-c3ccc(N4CCNCC4)cc3)cnc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49f20>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8040>
19,CHEMBL1089813,,COc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4C)c3n2)cc(OC)c1OC,5.38,IC50,=,4200.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,5.38,5.38,5.38,c1ccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c0a49f90>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f80b0>
20,CHEMBL1089814,,COc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4F)c3n2)cc(OC)c1OC,5.03,IC50,=,9300.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,5.03,5.03,5.03,c1ccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a040>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8120>
21,CHEMBL1089815,,Cc1cc(-c2cccc3ncc(-c4ccc(C(=O)N5CCOCC5)c(C)c4)nc23)ccc1CN1CCOCC1,6.36,IC50,=,439.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.36,6.36,6.36,O=C(c1ccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a0b0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8190>
22,CHEMBL1089833,,COc1cc(-c2cnc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2)cc(OC)c1OC,6.28,IC50,=,520.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.28,6.28,6.28,O=S1(=O)CCN(Cc2ccc(-c3cccc4ncc(-c5ccccc5)nc34)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a120>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8200>
23,CHEMBL1090360,,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,6.00,Ki,=,1000.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,F,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2,False,6.00,6.00,6.00,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a190>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8270>
24,CHEMBL1091565,,COc1cc(-c2cnc3cccc(-c4ccc(C(=O)N5CCOCC5)cc4)c3n2)cc(OC)c1OC,5.54,IC50,=,2900.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,5.54,5.54,5.54,O=C(c1ccc(-c2cccc3ncc(-c4ccccc4)nc23)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a200>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f82e0>
25,CHEMBL1092063,,Cc1cc(-c2cnc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2)ccc1C(=O)N1CCN(C)CC1,6.48,IC50,=,330.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.48,6.48,6.48,O=C(c1ccc(-c2cnc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2)cc1)N1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a270>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8350>
26,CHEMBL1092840,,Cc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)c(F)c4)c3n2)ccc1C(=O)N1CCOCC1,6.28,IC50,=,520.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.28,6.28,6.28,O=C(c1ccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a2e0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f83c0>
27,CHEMBL1092925,,CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3)cn2)CC1,7.07,IC50,=,86.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,7.07,7.07,7.07,O=S1(=O)CCN(Cc2ccc(-c3cccc4ncc(-c5ccc(N6CCNCC6)nc5)nc34)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a350>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8430>
28,CHEMBL1092926,,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,6.42,IC50,=,384.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.42,6.42,6.42,c1cc(-c2ccc(CN3CCOCC3)cc2)c2nc(-c3cnn(C4CCNCC4)c3)cnc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a3c0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f84a0>
29,CHEMBL1093119,,Cc1cc(-c2cnc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3n2)ccc1C(=O)N1CCOCC1,6.92,IC50,=,120.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.92,6.92,6.92,O=C(c1ccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a430>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8510>
30,CHEMBL1093191,,COc1cc(-c2cnc3cccc(-c4ccc(CC(=O)N5CCOCC5)cc4)c3n2)cc(OC)c1OC,6.19,IC50,=,640.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.19,6.19,6.19,O=C(Cc1ccc(-c2cccc3ncc(-c4ccccc4)nc23)cc1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a4a0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8580>
31,CHEMBL1093454,,COc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)c(C)c4)c3n2)cc(OC)c1OC,5.15,IC50,=,7130.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,5.15,5.15,5.15,c1ccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a510>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f85f0>
32,CHEMBL1093468,,COc1cc(-c2cnc3cccc(-c4ccc(CC(=O)N5CCS(=O)(=O)CC5)cc4)c3n2)cc(OC)c1OC,6.47,IC50,=,340.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.47,6.47,6.47,O=C(Cc1ccc(-c2cccc3ncc(-c4ccccc4)nc23)cc1)N1CCS(=O)(=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a580>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8660>
33,CHEMBL1093749,,CNS(=O)(=O)c1ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc23)cc1,6.19,IC50,=,640.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of recombinant GST tagged TYK2 protein after 60 mins using FITC-Ahx-KKSRGDYMTMQIG-NH2 substrate,False,6.19,6.19,6.19,c1ccc(-c2cnc3cccc(-c4ccccc4)c3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a5f0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f86d0>
34,CHEMBL1230165,SILMITASERTIB,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,5.62,Kd,=,2382.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",False,5.62,5.62,5.62,c1ccc(Nc2nc3ccccc3c3cnccc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a660>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8740>
35,CHEMBL1230609,FORETINIB,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,5.30,Kd,=,5000.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Binding constant for TYK2(JH1domain-catalytic) kinase domain,False,5.30,5.30,5.30,O=C(Nc1ccccc1)C1(C(=O)Nc2ccc(Oc3ccnc4cc(OCCCN5CCOCC5)ccc34)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a6d0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f87b0>
36,CHEMBL1235315,,O=C1CCN(c2ncc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)n2)CC1,5.36,IC50,=,4333.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of GST-tagged Tyk2 expressed in insect cells using 35 uM ATP,False,5.36,5.36,5.36,O=C1CCN(c2nccc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)n2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a740>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8820>
37,CHEMBL1241473,,COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC,6.80,Ki,=,158.49,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,F,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2,False,6.80,6.80,6.80,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a7b0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8890>
38,CHEMBL1241674,,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,5.47,Kd,=,3400.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Binding constant for TYK2(JH2domain-pseudokinase) kinase domain,False,6.01,6.55,5.47,c1ccc2[nH]c(-c3n[nH]c4ncncc34)cc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a820>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8900>
39,CHEMBL1287812,,CCOC(=O)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,5.76,IC50,=,1720.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of human recombinant TYK2 by TR-FRET assay,False,5.76,5.76,5.76,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a890>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8970>
40,CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,6.35,Kd,=,450.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Binding constant for TYK2(JH2domain-pseudokinase) kinase domain,False,6.81,7.68,6.35,c1ccc(Nc2ccnc(Nc3ccc(OCCN4CCCC4)cc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a900>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f89e0>
41,CHEMBL1287883,,Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nn1C(=O)c1c(F)cccc1F,7.16,IC50,=,70.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of human recombinant TYK2 by TR-FRET assay,False,7.16,7.16,7.16,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a970>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8a50>
42,CHEMBL1287910,,Nc1nc(Nc2cccc(C(=O)O)c2)nn1C(=O)c1c(F)cccc1F,6.16,IC50,=,690.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of human recombinant TYK2 by TR-FRET assay,False,6.16,6.16,6.16,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094a9e0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8ac0>
43,CHEMBL1287940,,COC(=O)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,6.12,IC50,=,760.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of human recombinant TYK2 by TR-FRET assay,False,6.12,6.12,6.12,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094aa50>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8b30>
44,CHEMBL1287941,,Nc1nc(Nc2ccc(C(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,7.38,IC50,=,42.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of human recombinant TYK2 by TR-FRET assay,False,7.38,7.38,7.38,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094aac0>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8ba0>
45,CHEMBL1287971,,Nc1nc(Nc2ccccc2)nn1C(=O)c1c(F)cccc1F,6.44,IC50,=,360.0,nM,0,Tyrosine-protein kinase TYK2,Homo sapiens,B,Inhibition of human recombinant TYK2 by TR-FRET assay,False,6.44,6.44,6.44,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f46c094ab30>,<rdkit.Chem.rdchem.Mol object at 0x7f46c08f8c10>
